2021-12-13 00:04:34.233 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.oomall.order.controller.OrderControllerTest], using SpringBootContextLoader
2021-12-13 00:04:34.241 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.oomall.order.controller.OrderControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-13 00:04:34.567 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-13 00:04:34.608 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@8a589a2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@c65a5ef, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6b5176f2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@b672aa8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2fab4aff, org.springframework.test.context.support.DirtiesContextTestExecutionListener@ec0c838, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6e46d9f4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5cc69cfe, org.springframework.test.context.event.EventPublishingTestExecutionListener@29cfd92b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@21c64522, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7997b197, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@11dee337, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@460f76a6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@55f3c410, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@11acdc30]
2021-12-13 00:04:37.165 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-12-13 00:04:37.194 [main] INFO  c.e.x.oomall.order.controller.OrderControllerTest - Starting OrderControllerTest using Java 11.0.13 on Silence with PID 16272 (started by silence in D:\silence\Desktop\file\third_academic\ooad\finalwork\oomall\order)
2021-12-13 00:04:37.197 [main] INFO  c.e.x.oomall.order.controller.OrderControllerTest - No active profile set, falling back to default profiles: default
2021-12-13 00:04:38.653 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-13 00:04:38.656 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-13 00:04:38.692 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2021-12-13 00:04:39.176 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=35c3ea18-846e-36c6-aa81-6822f9981f0f
